question	answers
神が弟の供物のみを受け取り、恥をかかされたことが動機になったという、旧約聖書に登場する人類最初の殺人犯は誰でしょう?	カイン
実働1年間で5勝1敗9Sの成績を挙げた、南海から留学中の昭和39年、サンフランシスコ・ジャイアンツに昇格し、日本人初の大リーガーとなったのは誰でしょう?	村上雅則
医者を主人公にした漫画で、『ブラックジャック』の作者は手塚治虫ですが、『ブラックジャックによろしく』の作者は誰でしょう?	佐藤秀峰
アメリカのミシガン州バトルクリークに本社を置く、世界的なシリアル食品会社はどこでしょう?	ケロッグ
その温暖な気候から「韓国のハワイ」と呼ばれている、韓国本土から南に100kmのところに位置する島は何でしょう?	済州島
磁石にくっつく金属といえば、鉄、コバルトと何でしょう?	ニッケル
自分には痛くもかゆくも感じない物事をたとえて、「対岸の何」というでしょう?	火事
大工道具で、四つ目、三つ目、つぼ、ねずみ歯といえば、どんな道具でしょう?	キリ
人類で初めて南極点に達したのはアムンゼンですが、初めて北極点に達したのは誰でしょう?	ピアリー
ゴルフで、プレイヤーのスコアを点検し、間違いがないことを署名して証明することを何というでしょう?	アテスト
人間の血管を大きく三つに分けると、動脈、静脈と何でしょう?	毛細血管
モータースポーツの「F-1」は「Formura」の略ですが、市場調査で「F-1層」という時のFは何の略でしょう?	Female
昔話『文福茶釜』の舞台として知られる、群馬県にある寺は何でしょう?	茂林寺
ローマ数字で100を表すアルファベットはCですが、1000を表すアルファベットは何でしょう?	M
野球でスコアといえば得点のことを指しますが、オーケストラでスコアといえば何のことを指すでしょう?	楽譜
舞台衣装に縫い込み、 キラキラと光る金属やプラスチック製のボタン型装飾品を何というでしょう?	スパンコール
本名をカルロ・ロレンティーニという、童話『ピノキオの冒険』などの作品で知られる作家は誰でしょう?	コルローディ
時代劇などでよく見られる、刀の背で打って、深く傷を負わせないようにすることを「何打ち」というでしょう?	峰打ち
元々はタヒチの民族衣装であった、色とりどりに着色された腰布で、最近は水着とセットにして着こなす人も多いのは何でしょう?	パレオ
キリスト教の原理のひとつで、人間が生まれながらにして持っている罪のことを何というでしょう?	原罪
ヒマラヤ山脈の南の麓に位置する、お茶の産地としても有名なインドの保養都市はどこでしょう?	ダージリン
コロイド溶液に横から強い光をあてると、光の散乱のため光の進路が明るく見える現象を何というでしょう?	チンダル現象
弓を引き絞り、矢を放たないまま構えている状態に由来する、準備を整えて待機していることを何というでしょう?	満を持す
お盆や正月に、奉公人が休暇をもらって郷里へ帰る期間のことを何といったでしょう?	薮入り
1837年から1901年まで、イギリスの歴代君主の中で最も長い64年間にわたってその地位にあった女王といえば誰でしょう?	ビクトリア女王
テニスや卓球で、デュースになった時、片方が1点リードすることを英語で何というでしょう?	アドバンテージ
光の三原色にあって、色の三原色にない色は何でしょう?	緑
少し緑がかった青色のことを、その色がトルコ石に似ていることから何ブルーというでしょう?	ターコイズブルー
石川さゆりの曲「天城越え」にも歌われている、伊豆・天城山中にある落差25mの滝は何でしょう?	浄蓮の滝
楽譜に書かれる記号で、D.C.といえばダカーポですが、D.S.といえば何でしょう?	ダルセーニョ
『風立ちぬ』という小説を書いたのは堀辰雄ですが、『風立ちぬ』という曲を歌ってたアイドルは誰でしょう?	松田聖子
ファーストフード店などで、買った商品を持ち帰ることをテイクアウトといいますが、店内で食べることを何というでしょう?	イート・イン
1887年に発表された「緋色の研究」という作品で登場し、いまだに根強いファンを持つ、コナン・ドイルが生んだ名探偵といえば誰でしょう?	シャーロック・ホームズ
アメリカ・大リーグの球団で、カナダに本拠地を置いているのは、モントリール・エクスポズとどこでしょう?	トロント・ブルージェイズ
大小マゼラン雲やアンドロメダ大星雲などのような天体集団のことを特に何宇宙というでしょう?	島宇宙
今年3月に発足した中国の新国家体制で、国家主席になったのは胡錦濤ですが、首相になったのは誰でしょう?	温家宝
校倉造でおなじみの正倉院が置かれている寺はどこでしょう?	東大寺
